line_id,report_type,unit_id,org_id,sku,fnsku,fba_shipment_id,order_id,charge_type,quantity,amount_usd,posted_date
FEE-0002-1,fee_report,UNIT-0002,org_demo_alpha,SKU-CANDLE-3,X00DUMMY002,FBA-DUMMY-100,ORD-DUMMY-50002,fulfilment_fee_weight_tier,1,4.25,2026-06-24
FEE-0003-1,inventory_adjustment,UNIT-0003,org_demo_bravo,SKU-PUZZLE-500,X00DUMMY003,FBA-DUMMY-100,,lost_inbound,1,0.00,2026-06-14
FEE-0003-2,fee_report,UNIT-0003,org_demo_bravo,SKU-PUZZLE-500,X00DUMMY003,FBA-DUMMY-100,ORD-DUMMY-50003,fulfilment_fee_weight_tier,1,5.10,2026-06-23
FEE-0005-1,fee_report,UNIT-0005,org_demo_alpha,SKU-LEASH-6FT,X00DUMMY005,FBA-DUMMY-100,ORD-DUMMY-50005,fulfilment_fee_weight_tier,1,5.10,2026-06-16
FEE-0007-1,fee_report,UNIT-0007,org_demo_alpha,SKU-CABLE-USBC,X00DUMMY007,FBA-DUMMY-100,ORD-DUMMY-50007,fulfilment_fee_weight_tier,1,3.50,2026-06-16
FEE-0011-1,fee_report,UNIT-0011,org_demo_alpha,SKU-PUZZLE-500,X00DUMMY011,FBA-DUMMY-101,ORD-DUMMY-50011,fulfilment_fee_weight_tier,1,3.50,2026-06-07
FEE-0012-1,fee_report,UNIT-0012,org_demo_bravo,SKU-MUG-11,X00DUMMY012,FBA-DUMMY-101,ORD-DUMMY-50012,fulfilment_fee_weight_tier,1,4.25,2026-06-14
FEE-0013-1,fee_report,UNIT-0013,org_demo_alpha,SKU-LEASH-6FT,X00DUMMY013,FBA-DUMMY-101,ORD-DUMMY-50013,fulfilment_fee_weight_tier,1,3.50,2026-06-18
FEE-0014-1,fee_report,UNIT-0014,org_demo_alpha,SKU-LAMP-LED,X00DUMMY014,FBA-DUMMY-101,,inbound_defect_fee,1,2.00,2026-07-18
FEE-0014-2,inventory_adjustment,UNIT-0014,org_demo_alpha,SKU-LAMP-LED,X00DUMMY014,FBA-DUMMY-101,,lost_inbound,2,0.00,2026-06-16
FEE-0014-3,fee_report,UNIT-0014,org_demo_alpha,SKU-LAMP-LED,X00DUMMY014,FBA-DUMMY-101,ORD-DUMMY-50014,fulfilment_fee_weight_tier,1,4.75,2026-06-20
FEE-0014-4,fee_report,UNIT-0014,org_demo_alpha,SKU-LAMP-LED,X00DUMMY014,FBA-DUMMY-101,ORD-DUMMY-50014,refund_issued_item_not_returned,1,0.00,2026-07-18
FEE-0015-1,fee_report,UNIT-0015,org_demo_bravo,SKU-MUG-11,X00DUMMY015,FBA-DUMMY-101,ORD-DUMMY-50015,fulfilment_fee_weight_tier,1,3.50,2026-06-21
FEE-0018-1,fee_report,UNIT-0018,org_demo_bravo,SKU-BOTTLE-750,X00DUMMY018,FBA-DUMMY-101,,inbound_defect_fee,1,1.00,2026-07-20
FEE-0018-2,fee_report,UNIT-0018,org_demo_bravo,SKU-BOTTLE-750,X00DUMMY018,FBA-DUMMY-101,ORD-DUMMY-50018,fulfilment_fee_weight_tier,1,5.10,2026-06-21
FEE-0024-1,fee_report,UNIT-0024,org_demo_bravo,SKU-BOTTLE-750,X00DUMMY024,FBA-DUMMY-102,ORD-DUMMY-50024,fulfilment_fee_weight_tier,1,5.10,2026-06-16
FEE-0025-1,fee_report,UNIT-0025,org_demo_alpha,SKU-TOWEL-BLU,X00DUMMY025,FBA-DUMMY-102,ORD-DUMMY-50025,fulfilment_fee_weight_tier,1,4.25,2026-06-13
FEE-0026-1,fee_report,UNIT-0026,org_demo_alpha,SKU-BOTTLE-750,X00DUMMY026,FBA-DUMMY-102,,inbound_defect_fee,1,1.00,2026-07-19
FEE-0030-1,fee_report,UNIT-0030,org_demo_bravo,SKU-SERUM-30,X00DUMMY030,FBA-DUMMY-103,ORD-DUMMY-50030,fulfilment_fee_weight_tier,1,3.50,2026-06-26
FEE-0031-1,inventory_adjustment,UNIT-0031,org_demo_alpha,SKU-CABLE-USBC,X00DUMMY031,FBA-DUMMY-103,,lost_inbound,1,0.00,2026-06-22
FEE-0031-2,fee_report,UNIT-0031,org_demo_alpha,SKU-CABLE-USBC,X00DUMMY031,FBA-DUMMY-103,ORD-DUMMY-50031,fulfilment_fee_weight_tier,1,4.25,2026-06-24
FEE-0035-1,fee_report,UNIT-0035,org_demo_alpha,SKU-CABLE-USBC,X00DUMMY035,FBA-DUMMY-103,,inbound_defect_fee,1,0.50,2026-07-15
FEE-0035-2,fee_report,UNIT-0035,org_demo_alpha,SKU-CABLE-USBC,X00DUMMY035,FBA-DUMMY-103,ORD-DUMMY-50035,fulfilment_fee_weight_tier,1,3.50,2026-06-19
FEE-0036-1,fee_report,UNIT-0036,org_demo_bravo,SKU-PUZZLE-500,X00DUMMY036,FBA-DUMMY-103,ORD-DUMMY-50036,fulfilment_fee_weight_tier,1,4.25,2026-06-26
FEE-0038-1,fee_report,UNIT-0038,org_demo_alpha,SKU-PROT-1KG,X00DUMMY038,FBA-DUMMY-103,ORD-DUMMY-50038,fulfilment_fee_weight_tier,1,5.10,2026-06-22
FEE-0038-2,fee_report,UNIT-0038,org_demo_alpha,SKU-PROT-1KG,X00DUMMY038,FBA-DUMMY-103,ORD-DUMMY-50038,refund_issued_item_not_returned,1,0.00,2026-07-19
FEE-0039-1,fee_report,UNIT-0039,org_demo_bravo,SKU-SERUM-30,X00DUMMY039,FBA-DUMMY-103,ORD-DUMMY-50039,fulfilment_fee_weight_tier,1,5.10,2026-06-21
FEE-0041-1,fee_report,UNIT-0041,org_demo_alpha,SKU-LEASH-6FT,X00DUMMY041,FBA-DUMMY-104,ORD-DUMMY-50041,fulfilment_fee_weight_tier,1,3.50,2026-06-26
FEE-0041-2,fee_report,UNIT-0041,org_demo_alpha,SKU-LEASH-6FT,X00DUMMY041,FBA-DUMMY-104,ORD-DUMMY-50041,refund_issued_item_not_returned,1,0.00,2026-07-08
