record_id,unit_id,org_id,order_id,channel,order_lines,observed_in_box,operator_verdict,photo_refs,operator_id,captured_at
PCK-0006,UNIT-0006,org_demo_bravo,ORD-DUMMY-50006,shopify,SKU-CABLE-USBC:1,SKU-CABLE-USBC:1,seal,fixtures/pack/UNIT-0006_open_box.jpg,op_ben,2026-06-22T08:10:00Z
PCK-0008,UNIT-0008,org_demo_alpha,ORD-DUMMY-50008,shopify,SKU-BOTTLE-750:1,SKU-BOTTLE-750:1,seal,fixtures/pack/UNIT-0008_open_box.jpg,op_amira,2026-06-09T15:31:00Z
PCK-0009,UNIT-0009,org_demo_bravo,ORD-DUMMY-50009,amazon_mfn,SKU-PUZZLE-500:1;SKU-BOTTLE-750:1,SKU-PUZZLE-500:1;SKU-BOTTLE-750:1,seal,fixtures/pack/UNIT-0009_open_box.jpg,op_amira,2026-06-19T23:36:00Z
PCK-0016,UNIT-0016,org_demo_alpha,ORD-DUMMY-50016,shopify,SKU-TOWEL-BLU:2,SKU-TOWEL-BLU:2,seal,fixtures/pack/UNIT-0016_open_box.jpg,op_dana,2026-06-17T07:31:00Z
PCK-0019,UNIT-0019,org_demo_alpha,ORD-DUMMY-50019,walmart,SKU-TOWEL-BLU:1,SKU-TOWEL-BLU:1,seal,fixtures/pack/UNIT-0019_open_box.jpg,op_chen,2026-06-16T01:17:00Z
PCK-0021,UNIT-0021,org_demo_bravo,ORD-DUMMY-50021,shopify,SKU-PUZZLE-500:1,SKU-PUZZLE-500:1,seal,fixtures/pack/UNIT-0021_open_box.jpg,op_fatima,2026-07-01T01:24:00Z
PCK-0022,UNIT-0022,org_demo_alpha,ORD-DUMMY-50022,walmart,SKU-SERUM-30:1,SKU-SERUM-30:1,seal,fixtures/pack/UNIT-0022_open_box.jpg,op_chen,2026-06-10T07:34:00Z
PCK-0023,UNIT-0023,org_demo_alpha,ORD-DUMMY-50023,shopify,SKU-PUZZLE-500:1;SKU-TOWEL-BLU:1,SKU-PUZZLE-500:1;SKU-TOWEL-BLU:1,seal,fixtures/pack/UNIT-0023_open_box.jpg,op_amira,2026-06-12T11:55:00Z
PCK-0027,UNIT-0027,org_demo_bravo,ORD-DUMMY-50027,amazon_mfn,SKU-PUZZLE-500:1,SKU-PUZZLE-500:1;SKU-CABLE-USBC:1,stop_and_fix,fixtures/pack/UNIT-0027_open_box.jpg,op_amira,2026-06-15T21:17:00Z
PCK-0028,UNIT-0028,org_demo_alpha,ORD-DUMMY-50028,walmart,SKU-PROT-1KG:1,SKU-PROT-1KG:1,seal,fixtures/pack/UNIT-0028_open_box.jpg,op_ben,2026-06-28T13:32:00Z
