record_id,unit_id,org_id,work_order_id,fba_shipment_id,sku,asin,fnsku,prep_price_usd,wo_polybag,wo_suffocation_warning,wo_expiry_date,wo_handling_marks,polybag_present_sealed,suffocation_warning,fnsku_label_placement,original_barcode_covered,expiry_date,handling_marks,photo_refs,operator_id,captured_at
PRP-0002,UNIT-0002,org_demo_alpha,WO-3000,FBA-DUMMY-100,SKU-CANDLE-3,B0DUMMY964,X00DUMMY002,0.40,False,False,False,fragile,not_required,not_required,on_seam,yes,not_required,all_present,fixtures/prep/UNIT-0002_front.jpg;fixtures/prep/UNIT-0002_back.jpg;fixtures/prep/UNIT-0002_label.jpg,op_amira,2026-06-04T12:25:00Z
PRP-0003,UNIT-0003,org_demo_bravo,WO-3000,FBA-DUMMY-100,SKU-PUZZLE-500,B0DUMMY729,X00DUMMY003,0.90,True,True,False,,not_sealed,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0003_front.jpg;fixtures/prep/UNIT-0003_back.jpg;fixtures/prep/UNIT-0003_label.jpg,op_fatima,2026-06-04T15:54:00Z
PRP-0004,UNIT-0004,org_demo_alpha,WO-3000,FBA-DUMMY-100,SKU-PROT-1KG,B0DUMMY357,X00DUMMY004,1.10,False,False,True,,not_required,not_required,flat,no,legible,not_required,fixtures/prep/UNIT-0004_front.jpg;fixtures/prep/UNIT-0004_back.jpg;fixtures/prep/UNIT-0004_label.jpg,op_dana,2026-06-06T12:58:00Z
PRP-0005,UNIT-0005,org_demo_alpha,WO-3001,FBA-DUMMY-100,SKU-LEASH-6FT,B0DUMMY205,X00DUMMY005,0.75,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0005_front.jpg;fixtures/prep/UNIT-0005_back.jpg;fixtures/prep/UNIT-0005_label.jpg,op_dana,2026-06-10T04:54:00Z
PRP-0007,UNIT-0007,org_demo_alpha,WO-3001,FBA-DUMMY-100,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY007,0.40,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0007_front.jpg;fixtures/prep/UNIT-0007_back.jpg;fixtures/prep/UNIT-0007_label.jpg,op_ben,2026-06-09T22:21:00Z
PRP-0010,UNIT-0010,org_demo_alpha,WO-3002,FBA-DUMMY-101,SKU-LAMP-LED,B0DUMMY357,X00DUMMY010,0.90,False,False,False,fragile;this_way_up,not_required,not_required,on_curve,yes,not_required,all_present,fixtures/prep/UNIT-0010_front.jpg;fixtures/prep/UNIT-0010_back.jpg;fixtures/prep/UNIT-0010_label.jpg,op_fatima,2026-06-02T00:59:00Z
PRP-0011,UNIT-0011,org_demo_alpha,WO-3002,FBA-DUMMY-101,SKU-PUZZLE-500,B0DUMMY729,X00DUMMY011,0.75,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0011_front.jpg;fixtures/prep/UNIT-0011_back.jpg;fixtures/prep/UNIT-0011_label.jpg,op_ben,2026-06-05T11:12:00Z
PRP-0012,UNIT-0012,org_demo_bravo,WO-3002,FBA-DUMMY-101,SKU-MUG-11,B0DUMMY351,X00DUMMY012,0.40,False,False,False,fragile,not_required,not_required,flat,yes,not_required,uncertain,fixtures/prep/UNIT-0012_front.jpg;fixtures/prep/UNIT-0012_back.jpg;fixtures/prep/UNIT-0012_label.jpg,op_dana,2026-06-05T06:34:00Z
PRP-0013,UNIT-0013,org_demo_alpha,WO-3002,FBA-DUMMY-101,SKU-LEASH-6FT,B0DUMMY205,X00DUMMY013,0.75,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0013_front.jpg;fixtures/prep/UNIT-0013_back.jpg;fixtures/prep/UNIT-0013_label.jpg,op_fatima,2026-06-07T11:53:00Z
PRP-0014,UNIT-0014,org_demo_alpha,WO-3002,FBA-DUMMY-101,SKU-LAMP-LED,B0DUMMY357,X00DUMMY014,0.55,False,False,False,fragile;this_way_up,not_required,not_required,flat,yes,not_required,all_present,fixtures/prep/UNIT-0014_front.jpg;fixtures/prep/UNIT-0014_back.jpg;fixtures/prep/UNIT-0014_label.jpg,op_chen,2026-06-06T07:36:00Z
