record_id,unit_id,org_id,order_id,ordered_sku,ordered_asin,identity_match,parts_list,parts_missing,observed_state,amazon_condition,operator_disposition,photo_refs,operator_id,captured_at
RTN-0003,UNIT-0003,org_demo_bravo,ORD-DUMMY-50003,SKU-PUZZLE-500,B0DUMMY729,yes,puzzle pieces;poster,,signs_of_use,,liquidate,fixtures/returns/UNIT-0003_1.jpg;fixtures/returns/UNIT-0003_2.jpg;fixtures/returns/UNIT-0003_3.jpg,op_chen,2026-07-10T15:54:00Z
RTN-0009,UNIT-0009,org_demo_bravo,ORD-DUMMY-50009,SKU-PUZZLE-500,B0DUMMY729,yes,puzzle pieces;poster,,opened_unused,,refurbish,fixtures/returns/UNIT-0009_1.jpg;fixtures/returns/UNIT-0009_2.jpg;fixtures/returns/UNIT-0009_3.jpg,op_fatima,2026-06-24T23:36:00Z
RTN-0014,UNIT-0014,org_demo_alpha,ORD-DUMMY-50014,SKU-LAMP-LED,B0DUMMY357,yes,lamp;usb cable;manual,,signs_of_use,,liquidate,fixtures/returns/UNIT-0014_1.jpg;fixtures/returns/UNIT-0014_2.jpg;fixtures/returns/UNIT-0014_3.jpg,op_eli,2026-07-18T07:36:00Z
RTN-0016,UNIT-0016,org_demo_alpha,ORD-DUMMY-50016,SKU-TOWEL-BLU,B0DUMMY600,yes,towel,,opened_unused,,restock,fixtures/returns/UNIT-0016_1.jpg;fixtures/returns/UNIT-0016_2.jpg;fixtures/returns/UNIT-0016_3.jpg,op_ben,2026-06-25T07:31:00Z
RTN-0018,UNIT-0018,org_demo_bravo,ORD-DUMMY-50018,SKU-BOTTLE-750,B0DUMMY622,yes,bottle;lid,,factory_sealed,,restock,fixtures/returns/UNIT-0018_1.jpg;fixtures/returns/UNIT-0018_2.jpg;fixtures/returns/UNIT-0018_3.jpg,op_fatima,2026-07-18T04:44:00Z
RTN-0021,UNIT-0021,org_demo_bravo,ORD-DUMMY-50021,SKU-PUZZLE-500,B0DUMMY729,yes,puzzle pieces;poster,puzzle pieces,damaged,,dispose,fixtures/returns/UNIT-0021_1.jpg;fixtures/returns/UNIT-0021_2.jpg;fixtures/returns/UNIT-0021_3.jpg,op_ben,2026-07-31T01:24:00Z
RTN-0023,UNIT-0023,org_demo_alpha,ORD-DUMMY-50023,SKU-PUZZLE-500,B0DUMMY729,yes,puzzle pieces;poster,,opened_unused,,restock,fixtures/returns/UNIT-0023_1.jpg;fixtures/returns/UNIT-0023_2.jpg;fixtures/returns/UNIT-0023_3.jpg,op_fatima,2026-07-07T11:55:00Z
RTN-0027,UNIT-0027,org_demo_bravo,ORD-DUMMY-50027,SKU-PUZZLE-500,B0DUMMY729,yes,puzzle pieces;poster,,damaged,,dispose,fixtures/returns/UNIT-0027_1.jpg;fixtures/returns/UNIT-0027_2.jpg;fixtures/returns/UNIT-0027_3.jpg,op_fatima,2026-07-10T21:17:00Z
RTN-0030,UNIT-0030,org_demo_bravo,ORD-DUMMY-50030,SKU-SERUM-30,B0DUMMY031,yes,bottle;dropper;leaflet,,opened_unused,,restock,fixtures/returns/UNIT-0030_1.jpg;fixtures/returns/UNIT-0030_2.jpg;fixtures/returns/UNIT-0030_3.jpg,op_eli,2026-07-01T10:35:00Z
RTN-0036,UNIT-0036,org_demo_bravo,ORD-DUMMY-50036,SKU-PUZZLE-500,B0DUMMY729,yes,puzzle pieces;poster,,opened_unused,,restock,fixtures/returns/UNIT-0036_1.jpg;fixtures/returns/UNIT-0036_2.jpg;fixtures/returns/UNIT-0036_3.jpg,op_fatima,2026-07-14T04:15:00Z
